player_id,source_player_id,player_name,normalized_player_name,team_id,role,valid_from,valid_to,source_id,source_record_locator,identity_method,identity_confidence,quality_flags,provenance
oe:player:5b4a9ba6121c6d0e37076f8f3523000,oe:player:5b4a9ba6121c6d0e37076f8f3523000,Ryoma,ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,2020-01-25T23:39:30Z,2021-08-01T22:41:19Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3909,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5b4a9ba6121c6d0e37076f8f3523000,oe:player:5b4a9ba6121c6d0e37076f8f3523000,Ryoma,ryoma,oe:team:87ee02298073abc2d55060f097d4041,MID,2022-01-14T23:05:35Z,2022-01-23T21:13:50Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=3184,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5b4a9ba6121c6d0e37076f8f3523000,oe:player:5b4a9ba6121c6d0e37076f8f3523000,Ryoma,ryoma,oe:team:f7f7324c151aa6ed770b244ce08e027,MID,2023-03-11T00:06:30Z,2023-03-11T00:06:30Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=38392,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5cc4071294a16477e992b3c8a2b7715,oe:player:5cc4071294a16477e992b3c8a2b7715,Shernfire,shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,2020-01-25T21:37:53Z,2020-02-11T01:05:22Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3920,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5e79b66b78498aa1aec126b0b4ca1a1,oe:player:5e79b66b78498aa1aec126b0b4ca1a1,Darshan,darshan,oe:team:fc8e90107dabb9a35c490b0d86adea0,TOP,2022-01-14T23:05:35Z,2022-01-29T22:52:36Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=3163,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5f048688474a6eacfefd74bd53d8715,oe:player:5f048688474a6eacfefd74bd53d8715,Sheiden,sheiden,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,2025-02-01T23:49:32Z,2025-08-23T22:39:00Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=6584,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5f048688474a6eacfefd74bd53d8715,oe:player:5f048688474a6eacfefd74bd53d8715,Sheiden,sheiden,oe:team:f7f7324c151aa6ed770b244ce08e027,JGL,2023-07-19T21:07:18Z,2023-08-10T23:37:02Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=106071,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6151bcec0a8bb9f8ab93d71878de3c9,oe:player:6151bcec0a8bb9f8ab93d71878de3c9,Mash,mash,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,2020-06-20T20:35:46Z,2020-07-11T23:09:33Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=57629,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:61f2c08eb43e1b4fc0bdd988013ee49,oe:player:61f2c08eb43e1b4fc0bdd988013ee49,Kumo,kumo,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,2021-06-27T23:06:45Z,2022-04-10T22:35:22Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=100327,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:61f2c08eb43e1b4fc0bdd988013ee49,oe:player:61f2c08eb43e1b4fc0bdd988013ee49,Kumo,kumo,oe:team:f7f7324c151aa6ed770b244ce08e027,TOP,2020-01-26T19:20:42Z,2020-07-12T22:40:38Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3938,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
