normalized_dataset,normalized_primary_key,source_id,raw_snapshot_sha256,source_record_locator,normalizer_version,normalization_timestamp_utc,direct_evidence,inference_used,inference_rule,quality_flags
games,ESPORTSTMNT01/1414076,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52322,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1414100,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52334,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1414121,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52346,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1414138,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52358,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1421788,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=76154,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1421812,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=76178,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1424822,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=81734,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1424842,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=81758,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1424862,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=81782,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1424894,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=81806,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1425115,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=82670,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1425144,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=82718,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1425154,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=82742,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1425178,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=82754,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432114,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=76802,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432144,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=76826,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432166,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=76850,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432182,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=76874,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432459,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=77510,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432477,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=77558,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432496,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=77582,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1432514,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=77606,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1434678,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=80918,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1434695,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=80942,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1880717,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36026,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1880735,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36038,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1880752,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36050,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1880793,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36086,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1880814,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36110,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1881217,src_oracles_elixir,36a1495425b38eab127dd36bcf028bf372d81215f6a320475ff27a25df657adc,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36974,player_model_v2_stage_3d_normalizer_v1,,true,false,,
