player,target_cutoff,team,role,opponent_role_fantasy_points_allowed_recent,opponent_role_fantasy_points_allowed_long,opponent_role_KP_allowed_recent,opponent_role_deaths_created_recent,minimum_history,latest_source_match_timestamp
Eyla,2025-01-25 21:14:31+00:00,100 Thieves,SUP,23.333333333333332,21.266666666666666,0.6354545454545454,1.0,3,2024-09-06 22:01:47+00:00
Castle,2025-01-25 21:14:31+00:00,Immortals,TOP,21.333333333333332,18.96551724137931,0.6458333333333334,1.0,3,2024-08-11 23:48:41+00:00
Impact,2025-01-25 21:14:31+00:00,Team Liquid,TOP,14.333333333333334,11.838709677419354,0.5464387464387465,5.0,3,2024-09-07 22:46:24+00:00
FBI,2025-02-01 21:06:58+00:00,100 Thieves,BOT,14.333333333333334,23.225806451612904,0.4161616161616162,2.3333333333333335,3,2025-01-26 22:01:48+00:00
River,2025-02-01 21:06:58+00:00,100 Thieves,JGL,19.333333333333332,20.758064516129032,0.6919191919191919,3.3333333333333335,3,2025-01-26 22:01:48+00:00
Contractz,2025-02-01 21:06:58+00:00,Shopify Rebellion,JGL,27.0,21.375,0.7316821465428277,1.0,3,2025-01-25 22:01:01+00:00
Quid,2025-02-01 21:06:58+00:00,100 Thieves,MID,18.666666666666668,20.43548387096774,0.46060606060606063,2.3333333333333335,3,2025-01-26 22:01:48+00:00
APA,2025-02-01 21:06:58+00:00,Team Liquid,MID,7.333333333333333,17.3125,0.5555555555555555,3.6666666666666665,3,2025-01-26 23:52:28+00:00
CoreJJ,2025-02-01 21:06:58+00:00,Team Liquid,SUP,8.0,14.21875,0.7731481481481483,4.666666666666667,3,2025-01-26 23:52:28+00:00
FBI,2025-02-03 00:15:46+00:00,100 Thieves,BOT,26.0,23.353846153846153,0.657020757020757,4.333333333333333,3,2025-02-02 23:06:46+00:00
Yeon,2025-02-03 00:15:46+00:00,Team Liquid,BOT,38.666666666666664,18.507462686567163,0.6165647015202077,3.0,3,2025-02-02 23:06:46+00:00
River,2025-02-03 00:15:46+00:00,100 Thieves,JGL,17.666666666666668,20.615384615384617,0.6302197802197802,7.666666666666667,3,2025-02-02 23:06:46+00:00
Inspired,2025-02-03 00:15:46+00:00,FlyQuest,JGL,8.0,14.878787878787879,0.6074074074074074,4.0,3,2025-01-25 22:01:01+00:00
APA,2025-02-03 00:15:46+00:00,Team Liquid,MID,48.666666666666664,18.71641791044776,0.7624212087504635,3.6666666666666665,3,2025-02-02 23:06:46+00:00
Quid,2025-02-03 00:15:46+00:00,100 Thieves,MID,17.666666666666668,20.307692307692307,0.5646520146520146,6.0,3,2025-02-02 23:06:46+00:00
Eyla,2025-02-03 00:15:46+00:00,100 Thieves,SUP,24.0,20.984615384615385,0.7603785103785103,4.666666666666667,3,2025-02-02 23:06:46+00:00
CoreJJ,2025-02-03 00:15:46+00:00,Team Liquid,SUP,35.0,15.149253731343284,0.632678284513657,3.0,3,2025-02-02 23:06:46+00:00
Bwipo,2025-02-03 00:15:46+00:00,FlyQuest,TOP,11.0,11.651515151515152,0.674074074074074,3.3333333333333335,3,2025-01-25 22:01:01+00:00
Srtty,2025-02-03 00:15:46+00:00,Dignitas,TOP,11.0,13.88679245283019,0.518954248366013,3.6666666666666665,3,2025-02-02 01:34:49+00:00
Zven,2025-02-10 00:46:00+00:00,Cloud9,BOT,16.333333333333332,17.81132075471698,0.7916666666666666,2.3333333333333335,3,2025-02-03 02:54:42+00:00
Route,2025-02-10 00:46:00+00:00,LOUD,BOT,15.333333333333334,22.4,0.8632478632478633,3.6666666666666665,3,2025-02-09 22:10:45+00:00
Quad,2025-02-10 00:46:00+00:00,FlyQuest,MID,20.0,14.549295774647888,0.6195652173913043,3.0,3,2025-02-09 23:49:15+00:00
Quid,2025-02-10 00:46:00+00:00,100 Thieves,MID,8.666666666666666,19.984848484848484,0.4590964590964591,5.666666666666667,3,2025-02-03 02:54:42+00:00
Eyla,2025-02-10 00:46:00+00:00,100 Thieves,SUP,16.333333333333332,20.696969696969695,0.7326007326007326,3.6666666666666665,3,2025-02-03 02:54:42+00:00
CoreJJ,2025-02-10 00:46:00+00:00,Team Liquid,SUP,13.333333333333334,14.768115942028986,0.5842911877394635,3.3333333333333335,3,2025-02-09 21:57:01+00:00
Bwipo,2025-02-10 00:46:00+00:00,FlyQuest,TOP,8.333333333333334,11.830985915492958,0.338768115942029,4.0,3,2025-02-09 23:49:15+00:00
Wizer,2025-02-10 00:46:00+00:00,paiN Gaming,TOP,12.0,17.6,0.5833333333333333,4.333333333333333,3,2025-02-09 22:10:45+00:00
Yeon,2025-02-22 19:13:32+00:00,Team Liquid,BOT,18.0,18.123287671232877,0.5936507936507937,1.6666666666666667,3,2025-02-16 23:17:16+00:00
FBI,2025-02-22 19:13:32+00:00,100 Thieves,BOT,12.666666666666666,22.88235294117647,0.5925925925925926,4.333333333333333,3,2025-02-15 20:02:58+00:00
River,2025-02-22 19:13:32+00:00,100 Thieves,JGL,17.333333333333332,20.470588235294116,0.9259259259259259,2.6666666666666665,3,2025-02-15 20:02:58+00:00
Inspired,2025-02-22 19:13:32+00:00,FlyQuest,JGL,20.0,15.202702702702704,0.8711843711843712,3.0,3,2025-02-15 22:08:12+00:00
APA,2025-02-22 19:13:32+00:00,Team Liquid,MID,12.333333333333334,17.931506849315067,0.6349206349206349,4.666666666666667,3,2025-02-16 23:17:16+00:00
Loki,2025-02-22 19:13:32+00:00,Cloud9,MID,13.0,16.345454545454544,0.6005952380952381,0.6666666666666666,3,2025-02-16 19:58:13+00:00
Zven,2025-04-05 20:14:15+00:00,Cloud9,BOT,28.666666666666668,18.0,0.7833333333333333,2.3333333333333335,3,2025-02-23 00:07:14+00:00
Hena,2025-04-05 20:14:15+00:00,LYON,BOT,15.0,20.2,0.6446428571428572,2.0,3,2025-02-01 22:48:32+00:00
Contractz,2025-04-05 20:14:15+00:00,Shopify Rebellion,JGL,17.666666666666668,20.972972972972972,0.8148148148148148,1.6666666666666667,3,2025-02-09 21:57:01+00:00
Inspired,2025-04-05 20:14:15+00:00,FlyQuest,JGL,20.333333333333332,15.402597402597403,0.7948051948051948,2.6666666666666665,3,2025-02-22 21:00:03+00:00
Quad,2025-04-05 20:14:15+00:00,FlyQuest,MID,18.0,14.519480519480519,0.7277056277056277,3.0,3,2025-02-22 21:00:03+00:00
Quid,2025-04-05 20:14:15+00:00,100 Thieves,MID,33.0,20.33783783783784,0.7043650793650794,3.0,3,2025-02-23 21:12:06+00:00
Lyonz,2025-04-05 20:14:15+00:00,LYON,SUP,11.666666666666666,17.2,0.6696428571428571,1.6666666666666667,3,2025-02-01 22:48:32+00:00
CoreJJ,2025-04-05 20:14:15+00:00,Team Liquid,SUP,13.0,14.759493670886076,0.7291666666666666,4.666666666666667,3,2025-02-23 21:12:06+00:00
Bwipo,2025-04-05 20:14:15+00:00,FlyQuest,TOP,17.666666666666668,12.168831168831169,0.5683982683982683,2.6666666666666665,3,2025-02-22 21:00:03+00:00
