season,split,period_id,fantasy_lock_time,series_id,best_of,maximum_possible_games,scheduled_series_count,minimum_possible_games,BO_profile
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,75987,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,76590,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,76596,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,76599,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,76593,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,76593,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:b0a60cf2f3d3558f5e56,2026-04-25 20:09:02+00:00,77013,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:b0a60cf2f3d3558f5e56,2026-04-25 20:09:02+00:00,77022,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:b0a60cf2f3d3558f5e56,2026-04-25 20:09:02+00:00,77016,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,76147,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,76144,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,76141,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,76147,,,1,,UNQUALIFIED_NO_RESULT_PARSING
