player,target_cutoff,prior_games,kp_recent,kp_long,kp_recent_minus_long,damage_share_recent,damage_share_long,damage_share_delta,gold_share_recent,gold_share_long,gold_share_delta,csdiffat15_recent,csdiffat15_long,csdiffat15_delta,latest_source_match_timestamp,source
Yeon,2024-06-27 20:07:21+00:00,38,0.6948051948051949,0.7195707899859837,-0.024765595180788802,0.24379266666666669,0.27957415789473683,-0.035781491228070145,0.2620346666666667,0.25299065789473685,0.009044008771929846,21.666666666666668,20.157894736842106,1.5087719298245617,2024-06-23 23:33:13+00:00,Oracle Elixir prior completed games
Zven,2024-06-27 20:07:21+00:00,5,0.6166666666666667,0.650952380952381,-0.03428571428571425,0.3230223333333333,0.3439198,-0.020897466666666697,0.26361233333333334,0.2626648,0.0009475333333333613,59.0,37.2,21.799999999999997,2024-06-22 22:47:46+00:00,Oracle Elixir prior completed games
Inspired,2024-06-27 20:07:21+00:00,32,0.5113095238095239,0.697309544754261,-0.1860000209447371,0.201869,0.15160985312500003,0.050259146874999966,0.20322833333333334,0.18668209375,0.016546239583333344,1.0,9.8125,-8.8125,2024-06-23 21:52:38+00:00,Oracle Elixir prior completed games
Blaber,2024-06-27 20:07:21+00:00,28,0.8515519568151148,0.7836241348459394,0.06792782196917535,0.21284133333333333,0.16307668214285712,0.04976465119047621,0.18914166666666665,0.1836655,0.005476166666666643,17.0,6.714285714285714,10.285714285714285,2024-06-22 20:56:48+00:00,Oracle Elixir prior completed games
APA,2024-06-27 20:07:21+00:00,38,0.668109668109668,0.6927335156882769,-0.024623847578608915,0.32984233333333335,0.2966128947368421,0.033229438596491245,0.27963133333333334,0.2602789210526316,0.019352412280701725,14.333333333333334,-0.6578947368421053,14.991228070175438,2024-06-23 23:33:13+00:00,Oracle Elixir prior completed games
Quad,2024-06-27 20:07:21+00:00,6,0.7380952380952381,0.6205096073517127,0.11758563074352546,0.293897,0.2622625,0.03163450000000001,0.250189,0.2553758333333333,-0.005186833333333307,7.0,-1.0,8.0,2024-06-23 21:52:38+00:00,Oracle Elixir prior completed games
huhi,2024-06-27 20:07:21+00:00,25,0.6848484848484849,0.7608139376962906,-0.07596545284780565,0.08419783333333332,0.08448581599999999,-0.0002879826666666724,0.12993116666666668,0.12234152,0.007589646666666686,30.666666666666668,19.56,11.10666666666667,2024-06-23 21:52:38+00:00,Oracle Elixir prior completed games
CoreJJ,2024-06-27 20:07:21+00:00,38,0.683020683020683,0.7289510976031973,-0.045930414582514345,0.05531983333333334,0.07966465263157893,-0.02434481929824559,0.09470016666666665,0.10989278421052631,-0.015192617543859657,3.6666666666666665,-13.026315789473685,16.692982456140353,2024-06-23 23:33:13+00:00,Oracle Elixir prior completed games
Bvoy,2024-07-20 20:10:15+00:00,18,0.5666666666666667,0.6905463444937129,-0.12387967782704623,0.21175033333333335,0.2876401111111111,-0.07588977777777775,0.25018366666666664,0.26486366666666666,-0.014680000000000026,-12.0,9.277777777777779,-21.27777777777778,2024-06-28 20:47:05+00:00,Oracle Elixir prior completed games
Zven,2024-07-20 20:10:15+00:00,7,0.7555555555555555,0.7030612244897959,0.052494331065759625,0.270808,0.32232514285714287,-0.05151714285714287,0.25542766666666666,0.26018671428571427,-0.004759047619047607,-8.333333333333334,21.571428571428573,-29.904761904761905,2024-06-28 22:16:26+00:00,Oracle Elixir prior completed games
Contractz,2024-07-20 20:10:15+00:00,27,0.8110516934046346,0.7599940818078073,0.05105761159682731,0.172149,0.16117394444444444,0.010975055555555557,0.18489999999999998,0.18109448148148152,0.003805518518518458,-2.6666666666666665,-3.074074074074074,0.40740740740740744,2024-06-27 20:56:17+00:00,Oracle Elixir prior completed games
Blaber,2024-07-20 20:10:15+00:00,30,0.7769980506822612,0.7810121554858398,-0.004014104803578555,0.22506366666666666,0.16972626999999998,0.05533739666666668,0.18642499999999998,0.18451953333333332,0.0019054666666666609,26.666666666666668,8.533333333333333,18.133333333333333,2024-06-28 20:47:05+00:00,Oracle Elixir prior completed games
APA,2024-07-20 20:10:15+00:00,40,0.6018518518518517,0.6865690621260854,-0.08471721027423362,0.2983736666666667,0.2961813,0.002192366666666723,0.2817756666666667,0.261451125,0.020324541666666696,10.666666666666666,-0.325,10.991666666666665,2024-06-27 22:55:43+00:00,Oracle Elixir prior completed games
Quid,2024-07-20 20:10:15+00:00,32,0.7333333333333334,0.7213143132095148,0.012019020123818613,0.3401166666666666,0.2919341875,0.048182479166666625,0.27443866666666666,0.25985309375,0.014585572916666678,-13.0,2.875,-15.875,2024-06-27 22:55:43+00:00,Oracle Elixir prior completed games
Vulcan,2024-07-20 20:10:15+00:00,30,0.8280701754385965,0.7388993949520267,0.08917078048656979,0.07432893333333333,0.08674210333333333,-0.012413170000000001,0.12442193333333333,0.11292218,0.011499753333333335,32.0,7.966666666666667,24.03333333333333,2024-06-28 20:47:05+00:00,Oracle Elixir prior completed games
huhi,2024-07-20 20:10:15+00:00,27,0.7277183600713012,0.7583789183462386,-0.03066055827493741,0.11540623333333333,0.08800786666666667,0.02739836666666666,0.09530299999999998,0.12059531481481481,-0.025292314814814823,-1.6666666666666667,18.0,-19.666666666666668,2024-06-27 20:56:17+00:00,Oracle Elixir prior completed games
Berserker,2024-07-27 20:09:19+00:00,32,0.7870370370370371,0.7401089590234328,0.046928078013604324,0.23990066666666665,0.258374475,-0.01847380833333334,0.2509786666666666,0.23352446875,0.017454197916666636,17.0,-3.53125,20.53125,2024-07-21 20:54:21+00:00,Oracle Elixir prior completed games
Zven,2024-07-27 20:09:19+00:00,10,0.6412337662337663,0.684512987012987,-0.04327922077922075,0.299012,0.31533120000000003,-0.016319200000000034,0.25212133333333336,0.2577671,-0.005645766666666663,2.3333333333333335,15.8,-13.466666666666667,2024-07-20 21:46:03+00:00,Oracle Elixir prior completed games
Bugi,2024-07-27 20:09:19+00:00,16,0.7964912280701754,0.719991786356918,0.0764994417132574,0.19913883333333335,0.16402450624999998,0.03511432708333337,0.18000733333333332,0.1844603125,-0.004452979166666676,-13.333333333333334,-12.1875,-1.145833333333334,2024-07-21 22:53:27+00:00,Oracle Elixir prior completed games
Blaber,2024-07-27 20:09:19+00:00,32,0.7824074074074074,0.7777718124346414,0.0046355949727659995,0.253392,0.17402425312500003,0.07936774687499998,0.209852,0.186350625,0.02350137500000002,33.666666666666664,10.0,23.666666666666664,2024-07-21 20:54:21+00:00,Oracle Elixir prior completed games
APA,2024-07-27 20:09:19+00:00,43,0.688888888888889,0.6867309105048855,0.002157978384003445,0.2883286666666667,0.2956334418604651,-0.007304775193798407,0.24567733333333333,0.2603506279069767,-0.014673294573643386,7.666666666666667,0.23255813953488372,7.434108527131783,2024-07-20 21:46:03+00:00,Oracle Elixir prior completed games
Quid,2024-07-27 20:09:19+00:00,34,0.6759259259259259,0.7164657588377132,-0.04053983291178731,0.3624886666666667,0.2968410882352941,0.06564757843137259,0.2671306666666667,0.2600787352941176,0.0070519313725490584,-4.666666666666667,2.4705882352941178,-7.137254901960785,2024-07-21 20:54:21+00:00,Oracle Elixir prior completed games
Busio,2024-07-27 20:09:19+00:00,36,0.7537878787878788,0.7560632074190521,-0.002275328631173301,0.10423656666666668,0.10859940277777778,-0.004362836111111101,0.10000503333333333,0.11715298055555556,-0.017147947222222237,-9.333333333333334,0.3055555555555556,-9.63888888888889,2024-07-20 23:21:38+00:00,Oracle Elixir prior completed games
CoreJJ,2024-07-27 20:09:19+00:00,43,0.5666666666666668,0.716992959639001,-0.15032629297233424,0.05871609999999999,0.07762033953488373,-0.018904239534883738,0.10560370000000001,0.10851029069767444,-0.0029065906976744327,12.0,-11.162790697674419,23.162790697674417,2024-07-20 21:46:03+00:00,Oracle Elixir prior completed games
Impact,2024-07-27 20:09:19+00:00,43,0.5111111111111111,0.5659252868399848,-0.054814175728873704,0.22063033333333334,0.20434172558139532,0.016288607751938022,0.22195433333333334,0.2075013953488372,0.01445293798449615,9.333333333333334,2.511627906976744,6.82170542635659,2024-07-20 21:46:03+00:00,Oracle Elixir prior completed games
Bwipo,2024-07-27 20:09:19+00:00,36,0.6363636363636364,0.5991208801951424,0.03724275616849393,0.21067066666666667,0.21856749722222224,-0.007896830555555567,0.22496433333333335,0.22157561111111113,0.0033887222222222235,-2.0,1.9444444444444444,-3.9444444444444446,2024-07-20 23:21:38+00:00,Oracle Elixir prior completed games
Yeon,2024-08-03 20:08:15+00:00,45,0.5833333333333334,0.6941807658647071,-0.11084743253137375,0.22396166666666664,0.2794996888888889,-0.05553802222222223,0.230073,0.2520611555555556,-0.021988155555555583,7.666666666666667,18.555555555555557,-10.88888888888889,2024-07-28 23:12:39+00:00,Oracle Elixir prior completed games
Zven,2024-08-03 20:08:15+00:00,12,0.7571428571428571,0.7120941558441558,0.04504870129870131,0.2717486666666667,0.3011799166666667,-0.02943125000000002,0.2109386666666667,0.24810083333333335,-0.03716216666666666,-22.333333333333332,6.583333333333333,-28.916666666666664,2024-07-27 22:39:35+00:00,Oracle Elixir prior completed games
Inspired,2024-08-03 20:08:15+00:00,39,0.7208333333333333,0.7035647448554163,0.017268588477917013,0.14359866666666665,0.15736541794871797,-0.01376675128205132,0.181069,0.188576,-0.007506999999999986,-3.3333333333333335,9.153846153846153,-12.487179487179487,2024-07-28 21:43:16+00:00,Oracle Elixir prior completed games
