season,split,period_id,fantasy_lock_time,GoL_tournament,GoL_round,match_date,team,opponent,series_id,best_of,maximum_possible_games,patch,source_page_type,source_reference,retrieval_timestamp,identity_mapping_status
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,Team Liquid,Cloud9,66233,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,Cloud9,LYON,66241,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,Dignitas,FlyQuest,66240,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,FlyQuest,Dignitas,66240,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,Team Liquid,Disguised,66242,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,SR,100 Thieves,66243,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-03,Team Liquid,Disguised,67093,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-04,Cloud9,LYON,67096,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-03,FlyQuest,SR,67090,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-03,SR,FlyQuest,67090,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-11,FlyQuest,Dignitas,67519,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-10,Cloud9,Team Liquid,67513,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-11,LYON,Disguised,67522,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-10,100 Thieves,SR,67516,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-10,SR,100 Thieves,67516,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-10,Team Liquid,Cloud9,67513,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,ltanorth2025split2,WEEK7,2025-05-18,Team Liquid,SR,67897,,,15.10,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,ltanorth2025split2,WEEK7,2025-05-18,100 Thieves,Disguised,67900,,,15.10,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,ltanorth2025split2,WEEK7,2025-05-17,FlyQuest,Cloud9,67891,,,15.10,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,ltanorth2025split3,WEEK1,2025-07-27,SR,Dignitas,69534,,,15.14,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,ltanorth2025split3,WEEK1,2025-07-26,FlyQuest,Disguised,69525,,,15.14,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,ltanorth2025split3,WEEK1,2025-07-26,Cloud9,LYON,69528,,,15.14,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,ltanorth2025split3,WEEK1,2025-07-26,Disguised,FlyQuest,69525,,,15.14,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,ltanorth2025split3,WEEK2,2025-08-03,Cloud9,Dignitas,70269,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,ltanorth2025split3,WEEK2,2025-08-02,Team Liquid,LYON,70266,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,ltanorth2025split3,WEEK2,2025-08-02,FlyQuest,100 Thieves,70263,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,ltanorth2025split3,WEEK2,2025-08-03,SR,Disguised,70272,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,ltanorth2025split3,WEEK2,2025-08-02,LYON,Team Liquid,70266,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,ltanorth2025split3,WEEK3,2025-08-09,FlyQuest,LYON,70673,,,15.15,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split3-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
