player_id,prediction_period_id,target_cutoff,context_prelock_features,source_max_timestamp,cutoff_safe,feature_count,feature_missing_count,quality_status
oe:player:803305691092adbf1de29f27a98d2a6,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:81acc6bcde5c927c78e0990e9887f84,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:84bff3a326833c7c9181c698f676878,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:88b2fc44169f986bdffd0ffdb0b534a,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:88b780b9f178fd2e50a458ae282cd7c,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:91a74fa03f163055a19da5b16363fc8,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:96da046ebab4cac9bcba2c9afd85999,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:9772f394c5e44d54e76aae1647217d0,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:9a877004ae6373d34cd9ba93decbbd9,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:a04a853a0f540f156d08711204fe252,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
