captured_at_utc,round_id,round_name,round_index_in_split,market_opens_at,market_closes_at,market_is_open,round_player_id,pro_player_id,summoner_name,role,team_id,team_code,team_name,price,previous_round_price,price_change,is_split_start_price,average_round_score,last_round_score,min_round_score,max_round_score,stats_last_round_price,stats_split_id,stats_split_name,stats_split_year,opponent_codes,opponent_sides,match_timestamps,image_url,source_endpoint
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,fd127ddf-1bb1-4a86-a1c9-5f6874ac3f7a,02436a08-1587-442c-8d30-450821f54b91,Reignover,coach,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,18.3,16,2.3,False,24.683999999999997,27.863999999999997,21.503999999999998,27.863999999999997,18.3,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DIG,blue,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,8e59cbee-ff93-43b6-89d3-f552cb485ae5,062c2ce9-1367-408e-a4aa-d73546989588,Reven,coach,d45bf435-19e0-4e92-8120-dfcd6badfd8e,SR,Shopify Rebellion,13,15.3,-2.3,False,15.376000000000001,7.448,7.448,23.304000000000002,13,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SEN,blue,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,0c79824f-c244-4a9a-99f2-fe6d0dfba251,2a7d72fe-4a25-4617-a290-7e679a9f629c,Goldenglue,coach,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,13.9,15.9,-2.0,False,16.739,9.38,9.38,24.098,13.9,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SR,red,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,97817efe-cfea-4133-8a2b-d064ece52b39,20e3b396-e689-4314-beff-b3d481b49cd0,Swiffer,coach,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,12.4,12.1,0.3,False,13.927333333333333,14.888,12.966666666666665,14.888,12.4,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,LYON,red,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,007c0089-ff77-494d-8bab-a07c8f719322,a5ba4d63-5d27-478d-a819-0467e5df39b2,Spawn,coach,40dbf5d2-24ba-4894-b90f-4397fe4a53ea,TLAW,Team Liquid Alienware,17.8,16.9,0.9,False,23.072499999999998,22.569,22.569,23.576,17.8,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY,blue,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,759f7243-0abc-4ec0-bea8-c777d48bf4f7,01b0e738-0009-4c57-a16c-a943c69acea4,Thinkcard,coach,848fdaaf-589a-4e94-b3dc-90299584db0b,FLY,FlyQuest,16.2,12.7,3.5,False,19.1575,29.249000000000002,9.065999999999999,29.249000000000002,16.2,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,TLAW,red,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,e3bd8023-c7c8-4c0c-9a0e-8df1eb44b539,0eb5ed88-c366-4ac1-8b6c-8423419c40ad,Zinie,mid,d45bf435-19e0-4e92-8120-dfcd6badfd8e,SR,Shopify Rebellion,11.9,14.3,-2.4,False,10.7925,5.625,5.625,15.959999999999999,11.9,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SEN,blue,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,7d725ec2-60e2-44b1-bcac-1a4260b09ece,9c3659ab-6630-49f2-836b-e31b6da00ef1,ido,coach,a7520418-4986-4870-8c86-7c5acd3f443c,DSG,Disguised,11.1,11.9,-0.8,False,10.148,9.780000000000001,9.780000000000001,10.516,11.1,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,C9,blue,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,14e57566-cc00-41ba-839e-a82e52d3105c,26c604a2-2864-4e48-97cf-803e4946db7c,Denathor,top,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,13.3,13.4,-0.1,False,11.886666666666667,14.660000000000002,9.113333333333333,14.660000000000002,13.3,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,LYON,red,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,1b449bd7-6180-4f57-9dec-d5faaa5b837c,83c0b8a2-3a42-4ff9-af93-45328f4e0d22,Tactical,bottom,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,14.6,14.8,-0.2,False,12.240833333333333,15.836666666666666,8.645,15.836666666666666,14.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,baa81e86-8dc4-4ca8-8894-2bdf61b2ab0b,fa8a85a1-4205-4baf-9a9d-9b65eb46a177,Zeyzal,support,d45bf435-19e0-4e92-8120-dfcd6badfd8e,SR,Shopify Rebellion,13.9,17.1,-3.2,False,14.795,5.3,5.3,24.29,13.9,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SEN,blue,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,aa6c491a-2d32-41d3-8e87-10625e021eac,e68f870e-28bb-4b94-b631-7e5414edd6f8,IWDominate,coach,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,15.1,13.4,1.7,False,16.542333333333332,22.332666666666665,10.751999999999999,22.332666666666665,15.1,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,84721bcc-604c-4e71-bc1c-a8e91b0aa6fa,415f40ac-92d4-44fb-aa6b-1f7ec78ed1b5,Armao,jungle,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,19.6,18,1.6,False,24.7975,26.89,22.705,26.89,19.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DIG,blue,2026-08-09T20:00:00.000Z,https://static.lolesports.com/players/default-headshot.png,https://api.lcsofficial.gg/market
