team_id,prediction_period_id,opponent_count,scheduled_series_count,series_format,best_of,scheduled_game_floor,expected_games_total,days_to_first_series,schedule_density,multi_opponent_indicator,target_cutoff,evidence_class,quality_status
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:0836494c11a0b381c084,1,1,BO5,5.0,4.0,4.0,2,1.0,0.0,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:0836494c11a0b381c084,1,1,BO5,5.0,4.0,4.0,1,1.0,0.0,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:0836494c11a0b381c084,2,3,BO5,5.0,12.0,12.0,0,1.0,1.0,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:0a890f671f8ce6bbde59,1,1,BO1,1.0,1.0,1.0,6,1.0,0.0,2026-05-02T20:10:20+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:289284911fb6f41c0ccaecc3a0c2891,period:0a890f671f8ce6bbde59,1,1,BO1,1.0,1.0,1.0,6,1.0,0.0,2026-05-02T20:10:20+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0a890f671f8ce6bbde59,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2026-05-02T20:10:20+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:0a890f671f8ce6bbde59,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2026-05-02T20:10:20+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:da1143bf9a245b78a8dc86417de85b3,period:0a890f671f8ce6bbde59,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2026-05-02T20:10:20+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f90422f1cbcb24bc2a855202582ec29,period:0a890f671f8ce6bbde59,2,2,BO1,1.0,2.0,2.0,0,0.2857142857142857,1.0,2026-05-02T20:10:20+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0c3bfca85acd014e625d,1,2,MIXED,nan,6.5,6.5,0,0.025974025974025976,0.0,2024-03-30T20:22:30+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
