team_id,prediction_period_id,opponent_team_id,series_id,season,split,stage,series_date,series_format,best_of,expected_games,expected_games_method,target_cutoff,evidence_class,quality_status
oe:team:8eb884e168f28402ce685bedebb5250,period:06566a2ea584fecf6c15,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe_structural:2024:2024-02-11:e454dfc0160b,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:06566a2ea584fecf6c15,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,oe_structural:2024:2024-03-02:44cc4b3fdfa8,2024.0,Spring,regular,2024-03-02,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:06566a2ea584fecf6c15,oe:team:8eb884e168f28402ce685bedebb5250,oe_structural:2024:2024-02-11:e454dfc0160b,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:06566a2ea584fecf6c15,oe:team:c334c629fea759876e9e04afbe4aee7,oe_structural:2024:2024-03-02:4a2a99fea1e0,2024.0,Spring,regular,2024-03-02,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:06566a2ea584fecf6c15,oe:team:2e66da41dc460dd378e3bcc57042d31,oe_structural:2024:2024-02-11:7e4a082e2606,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:06566a2ea584fecf6c15,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe_structural:2024:2024-03-02:4a2a99fea1e0,2024.0,Spring,regular,2024-03-02,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:06566a2ea584fecf6c15,oe:team:0dbb780176ecad18f17292d1f5653af,oe_structural:2024:2024-02-11:a7b7697d2e92,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:06566a2ea584fecf6c15,oe:team:8eb884e168f28402ce685bedebb5250,oe_structural:2024:2024-03-02:44cc4b3fdfa8,2024.0,Spring,regular,2024-03-02,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:06566a2ea584fecf6c15,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe_structural:2024:2024-02-11:2cc5a58e351d,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:06566a2ea584fecf6c15,oe:team:2e66da41dc460dd378e3bcc57042d31,oe_structural:2024:2024-03-02:84bab55cb7cc,2024.0,Spring,regular,2024-03-02,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:0836494c11a0b381c084,oe:team:a22510a4756fa424cb0771b13261139,oe_structural:2020:2020-08-15:3adc68f531c5,2020.0,Summer,playoffs,2020-08-15,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0836494c11a0b381c084,oe:team:f7f7324c151aa6ed770b244ce08e027,oe_structural:2020:2020-08-14:603abeb8637c,2020.0,Summer,playoffs,2020-08-14,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0836494c11a0b381c084,oe:team:f7f7324c151aa6ed770b244ce08e027,oe_structural:2020:2020-08-15:3d10e4e97c2c,2020.0,Summer,playoffs,2020-08-15,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0836494c11a0b381c084,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe_structural:2020:2020-08-20:642930f34142,2020.0,Summer,playoffs,2020-08-20,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:0836494c11a0b381c084,oe:team:f7f7324c151aa6ed770b244ce08e027,oe_structural:2020:2020-08-16:2e378dfa3868,2020.0,Summer,playoffs,2020-08-16,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:a22510a4756fa424cb0771b13261139,period:0836494c11a0b381c084,oe:team:0dbb780176ecad18f17292d1f5653af,oe_structural:2020:2020-08-15:3adc68f531c5,2020.0,Summer,playoffs,2020-08-15,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:0836494c11a0b381c084,oe:team:2e66da41dc460dd378e3bcc57042d31,oe_structural:2020:2020-08-14:603abeb8637c,2020.0,Summer,playoffs,2020-08-14,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f7f7324c151aa6ed770b244ce08e027,period:0836494c11a0b381c084,oe:team:2e66da41dc460dd378e3bcc57042d31,oe_structural:2020:2020-08-15:3d10e4e97c2c,2020.0,Summer,playoffs,2020-08-15,BO5,5,4.0,phase_f_unfitted_engineering_priors_v1,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
