year,prediction_period,player,role,team,team_fe_delta,s30_base_pred,s30_cand_pred,s30_base_share,s30_cand_share,fe_base_delta,fe_cand_delta,fe_share_diff
2024,2024-01-29 00:00:00+00:00,Impact,TOP,Team Liquid,-1.6484997749999994,12.8728,13.4552,0.1903,0.1986,-0.3137,-0.3274,-0.0137
2024,2024-01-29 00:00:00+00:00,Insanity,MID,Shopify Rebellion,0.1268076750000018,14.5308,14.8239,0.2122,0.2115,0.0269,0.0268,-0.0001
2024,2024-01-29 00:00:00+00:00,Inspired,JGL,FlyQuest,-0.1690768999999994,11.5872,11.3888,0.1685,0.1677,-0.0285,-0.0284,0.0001
2024,2024-01-29 00:00:00+00:00,Isles,SUP,Dignitas,1.9866535750000012,13.8228,13.1687,0.2069,0.2071,0.4109,0.4115,0.0005
2024,2024-01-29 00:00:00+00:00,Jensen,MID,FlyQuest,-0.1690768999999994,14.5939,14.8434,0.2123,0.2186,-0.0359,-0.037,-0.0011
2024,2024-01-29 00:00:00+00:00,Jojopyun,MID,Cloud9,3.043384199999998,16.5509,16.6319,0.2304,0.2274,0.7011,0.6922,-0.0088
2024,2024-01-29 00:00:00+00:00,Mask,MID,Immortals,-5.9176914999999966,15.1396,15.2723,0.22,0.2195,-1.3016,-1.299,0.0026
2024,2024-01-29 00:00:00+00:00,Massu,BOT,FlyQuest,-0.1690768999999994,15.1358,14.3469,0.2201,0.2112,-0.0372,-0.0357,0.0015
2024,2024-01-29 00:00:00+00:00,Meech,BOT,100 Thieves,2.1979997000000013,14.5432,13.8751,0.215,0.2058,0.4726,0.4523,-0.0203
2024,2024-01-29 00:00:00+00:00,Olleh,SUP,Immortals,-5.9176914999999966,13.4141,13.9587,0.1949,0.2006,-1.1533,-1.1873,-0.034
2024,2024-01-29 00:00:00+00:00,Palafox,MID,NRG,3.170191875,14.8475,15.7719,0.2073,0.2112,0.6572,0.6696,0.0123
2024,2024-01-29 00:00:00+00:00,Quid,MID,100 Thieves,2.1979997000000013,15.0808,15.4477,0.223,0.2291,0.4901,0.5036,0.0135
2024,2024-01-29 00:00:00+00:00,Rich,TOP,Dignitas,1.9866535750000012,12.5532,12.6356,0.1879,0.1987,0.3732,0.3948,0.0216
2024,2024-01-29 00:00:00+00:00,River,JGL,100 Thieves,2.1979997000000013,11.6602,12.2764,0.1724,0.1821,0.3789,0.4002,0.0213
2024,2024-01-29 00:00:00+00:00,Sniper,TOP,100 Thieves,2.1979997000000013,13.0291,12.5078,0.1926,0.1855,0.4234,0.4077,-0.0157
2024,2024-01-29 00:00:00+00:00,Tactical,BOT,Immortals,-5.9176914999999966,15.7613,16.13,0.229,0.2318,-1.3551,-1.3719,-0.0169
2024,2024-01-29 00:00:00+00:00,Tomo,BOT,Dignitas,1.9866535750000012,14.9754,14.4461,0.2241,0.2272,0.4452,0.4514,0.0062
2024,2024-01-29 00:00:00+00:00,UmTi,JGL,Team Liquid,-1.6484997749999994,11.0604,10.6372,0.1635,0.157,-0.2696,-0.2588,0.0107
2024,2024-01-29 00:00:00+00:00,Vulcan,SUP,Cloud9,3.043384199999998,13.4532,14.0402,0.1872,0.192,0.5698,0.5843,0.0145
2024,2024-01-29 00:00:00+00:00,Yeon,BOT,Team Liquid,-1.6484997749999994,15.2787,15.4166,0.2259,0.2276,-0.3724,-0.3751,-0.0028
2024,2024-01-29 00:00:00+00:00,Zeyzal,SUP,Shopify Rebellion,0.1268076750000018,13.5906,14.57,0.1985,0.2079,0.0252,0.0264,0.0012
2024,2024-01-29 00:00:00+00:00,eXyu,JGL,Dignitas,1.9866535750000012,11.3847,10.3892,0.1704,0.1634,0.3385,0.3246,-0.0138
2024,2024-01-29 00:00:00+00:00,huhi,SUP,NRG,3.170191875,14.2924,14.8845,0.1996,0.1993,0.6327,0.6319,-0.0008
2024,2024-02-05 00:00:00+00:00,APA,MID,Team Liquid,-2.3670766000000008,15.0894,15.1166,0.2244,0.2253,-0.5312,-0.5333,-0.0021
2024,2024-02-05 00:00:00+00:00,Armao,JGL,Immortals,1.1835383000000017,12.0302,11.6932,0.1653,0.1654,0.1957,0.1957,0.0001
2024,2024-02-05 00:00:00+00:00,Berserker,BOT,Cloud9,-4.2269225,14.9143,15.0113,0.2171,0.2168,-0.9175,-0.9165,0.0009
