prediction_period,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
2024-03-25 00:00:00+00:00,team:flyquest,"[""team:team_liquid""]",1,"[""fixture:94dcea61ef71ec58648d""]",PASS
2024-03-25 00:00:00+00:00,team:team_liquid,"[""team:cloud9"",""team:flyquest""]",2,"[""fixture:94dcea61ef71ec58648d"",""fixture:c3f1ed90302a05e6368c""]",PASS
2024-06-10 00:00:00+00:00,team:100_thieves,"[""team:nrg""]",1,"[""fixture:8e683257aa99cb259efa""]",PASS
2024-06-10 00:00:00+00:00,team:cloud9,"[""team:dignitas""]",1,"[""fixture:5a75332ad23e8e7b3f13""]",PASS
2024-06-10 00:00:00+00:00,team:dignitas,"[""team:cloud9""]",1,"[""fixture:5a75332ad23e8e7b3f13""]",PASS
2024-06-10 00:00:00+00:00,team:flyquest,"[""team:team_liquid""]",1,"[""fixture:2452a2d4f8e4dd17509f""]",PASS
2024-06-10 00:00:00+00:00,team:immortals,"[""team:shopify_rebellion""]",1,"[""fixture:8a734bfd9a83afa2da74""]",PASS
2024-06-10 00:00:00+00:00,team:nrg,"[""team:100_thieves""]",1,"[""fixture:8e683257aa99cb259efa""]",PASS
2024-06-10 00:00:00+00:00,team:shopify_rebellion,"[""team:immortals""]",1,"[""fixture:8a734bfd9a83afa2da74""]",PASS
2024-06-10 00:00:00+00:00,team:team_liquid,"[""team:flyquest""]",1,"[""fixture:2452a2d4f8e4dd17509f""]",PASS
2024-06-17 00:00:00+00:00,team:100_thieves,"[""team:dignitas""]",1,"[""fixture:27ece29e793ef0fff424""]",PASS
2024-06-17 00:00:00+00:00,team:cloud9,"[""team:immortals""]",1,"[""fixture:7faccce12bb4b384c344""]",PASS
2024-06-17 00:00:00+00:00,team:dignitas,"[""team:100_thieves""]",1,"[""fixture:27ece29e793ef0fff424""]",PASS
2024-06-17 00:00:00+00:00,team:flyquest,"[""team:nrg""]",1,"[""fixture:c9a75880f8c0ce1147d9""]",PASS
2024-06-17 00:00:00+00:00,team:immortals,"[""team:cloud9""]",1,"[""fixture:7faccce12bb4b384c344""]",PASS
2024-06-17 00:00:00+00:00,team:nrg,"[""team:flyquest""]",1,"[""fixture:c9a75880f8c0ce1147d9""]",PASS
2024-06-17 00:00:00+00:00,team:shopify_rebellion,"[""team:team_liquid""]",1,"[""fixture:d7fedbb4e6cbc473a20b""]",PASS
2024-06-17 00:00:00+00:00,team:team_liquid,"[""team:shopify_rebellion""]",1,"[""fixture:d7fedbb4e6cbc473a20b""]",PASS
2024-06-24 00:00:00+00:00,team:100_thieves,"[""team:team_liquid""]",1,"[""fixture:4bcd65e28ac0f44b9f36""]",PASS
2024-06-24 00:00:00+00:00,team:cloud9,"[""team:shopify_rebellion""]",1,"[""fixture:a4186020af2b309b7ab8""]",PASS
2024-06-24 00:00:00+00:00,team:dignitas,"[""team:flyquest""]",1,"[""fixture:65d57bd72a8afe4132e2""]",PASS
2024-06-24 00:00:00+00:00,team:flyquest,"[""team:dignitas""]",1,"[""fixture:65d57bd72a8afe4132e2""]",PASS
2024-06-24 00:00:00+00:00,team:immortals,"[""team:nrg""]",1,"[""fixture:2684c3d2eddad000d70c""]",PASS
2024-06-24 00:00:00+00:00,team:nrg,"[""team:immortals""]",1,"[""fixture:2684c3d2eddad000d70c""]",PASS
2024-06-24 00:00:00+00:00,team:shopify_rebellion,"[""team:cloud9""]",1,"[""fixture:a4186020af2b309b7ab8""]",PASS
2024-06-24 00:00:00+00:00,team:team_liquid,"[""team:100_thieves""]",1,"[""fixture:4bcd65e28ac0f44b9f36""]",PASS
2024-07-15 00:00:00+00:00,team:100_thieves,"[""team:cloud9""]",1,"[""fixture:5060eee930f03bb146c1""]",PASS
2024-07-15 00:00:00+00:00,team:cloud9,"[""team:100_thieves""]",1,"[""fixture:5060eee930f03bb146c1""]",PASS
2024-07-15 00:00:00+00:00,team:dignitas,"[""team:team_liquid""]",1,"[""fixture:0da58681f1f5291c37b9""]",PASS
2024-07-15 00:00:00+00:00,team:flyquest,"[""team:immortals""]",1,"[""fixture:4d27bcd9e112cc20add1""]",PASS
2024-07-15 00:00:00+00:00,team:immortals,"[""team:flyquest""]",1,"[""fixture:4d27bcd9e112cc20add1""]",PASS
2024-07-15 00:00:00+00:00,team:nrg,"[""team:shopify_rebellion""]",1,"[""fixture:440f7ca9baab297c1868""]",PASS
2024-07-15 00:00:00+00:00,team:shopify_rebellion,"[""team:nrg""]",1,"[""fixture:440f7ca9baab297c1868""]",PASS
2024-07-15 00:00:00+00:00,team:team_liquid,"[""team:dignitas""]",1,"[""fixture:0da58681f1f5291c37b9""]",PASS
2024-07-22 00:00:00+00:00,team:100_thieves,"[""team:flyquest""]",1,"[""fixture:85d7714f538f6d991a13""]",PASS
2024-07-22 00:00:00+00:00,team:cloud9,"[""team:nrg""]",1,"[""fixture:11d9bde77bae441c7d6b""]",PASS
2024-07-22 00:00:00+00:00,team:dignitas,"[""team:shopify_rebellion""]",1,"[""fixture:d4cbbb146756def215d5""]",PASS
2024-07-22 00:00:00+00:00,team:flyquest,"[""team:100_thieves""]",1,"[""fixture:85d7714f538f6d991a13""]",PASS
2024-07-22 00:00:00+00:00,team:immortals,"[""team:team_liquid""]",1,"[""fixture:f4dee798dd034db023f0""]",PASS
2024-07-22 00:00:00+00:00,team:nrg,"[""team:cloud9""]",1,"[""fixture:11d9bde77bae441c7d6b""]",PASS
2024-07-22 00:00:00+00:00,team:shopify_rebellion,"[""team:dignitas""]",1,"[""fixture:d4cbbb146756def215d5""]",PASS
2024-07-22 00:00:00+00:00,team:team_liquid,"[""team:immortals""]",1,"[""fixture:f4dee798dd034db023f0""]",PASS
