prediction_period,season,scheduled_start_utc,team_a_source,team_b_source,team_a_id,team_b_id,best_of,source_type,source_name,source_url,provenance_class,fixed_before_prediction,schedule_change_flag,validation_status,fixture_id
2024-02-26 00:00:00+00:00,2024,2024-03-03T23:00:00Z,Dignitas,Shopify Rebellion,team:dignitas,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:c3ecac0b476fbfb299ac
2024-03-04 00:00:00+00:00,2024,2024-03-04T00:00:00Z,Team Liquid,Cloud9,team:team_liquid,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:ecf03d6744da69123ed0
2024-03-04 00:00:00+00:00,2024,2024-03-08T21:00:00Z,Dignitas,Cloud9,team:dignitas,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:e9a40344a2ab5da5e657
2024-03-04 00:00:00+00:00,2024,2024-03-08T22:00:00Z,Team Liquid,FlyQuest,team:team_liquid,team:flyquest,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:35dc635d93e379f63e17
2024-03-04 00:00:00+00:00,2024,2024-03-08T23:00:00Z,Immortals,100 Thieves,team:immortals,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:c910dd812d673806b1c3
2024-03-04 00:00:00+00:00,2024,2024-03-09T00:00:00Z,NRG,Shopify Rebellion,team:nrg,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:e3af86867345a1eeb2d2
2024-03-04 00:00:00+00:00,2024,2024-03-09T21:00:00Z,Immortals,Cloud9,team:immortals,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:0c6031979775be9f092d
2024-03-04 00:00:00+00:00,2024,2024-03-09T22:00:00Z,NRG,FlyQuest,team:nrg,team:flyquest,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:2300777e2caa2b309fe6
2024-03-04 00:00:00+00:00,2024,2024-03-09T23:00:00Z,Team Liquid,Dignitas,team:team_liquid,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:32effec5a44995237a57
2024-03-04 00:00:00+00:00,2024,2024-03-10T00:00:00Z,100 Thieves,Shopify Rebellion,team:100_thieves,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:9b3e44b6ffdb1d3cf3ea
